Time,State,Interpreted
03:04:30,1,Asleep
03:05:30,1,Asleep
03:06:30,1,Asleep
03:07:30,1,Asleep
03:08:30,1,Asleep
03:09:30,1,Asleep
03:10:30,1,Asleep
03:11:30,1,Asleep
03:12:30,1,Asleep
03:13:30,1,Asleep
03:14:30,1,Asleep
03:15:30,1,Asleep
03:16:30,1,Asleep
03:17:30,1,Asleep
03:18:30,1,Asleep
03:19:30,1,Asleep
03:20:30,1,Asleep
03:21:30,1,Asleep
03:22:30,1,Asleep
03:23:30,1,Asleep
03:24:30,1,Asleep
03:25:30,2,Awake
03:26:30,1,Asleep
03:27:30,1,Asleep
03:28:30,1,Asleep
03:29:30,1,Asleep
03:30:30,1,Asleep
03:31:30,1,Asleep
03:32:30,1,Asleep
03:33:30,1,Asleep
03:34:30,1,Asleep
03:35:30,1,Asleep
03:36:30,1,Asleep
03:37:30,1,Asleep
03:38:30,1,Asleep
03:39:30,1,Asleep
03:40:30,1,Asleep
03:41:30,1,Asleep
03:42:30,2,Awake
03:43:30,2,Awake
03:44:30,1,Asleep
03:45:30,1,Asleep
03:46:30,1,Asleep
03:47:30,1,Asleep
03:48:30,1,Asleep
03:49:30,1,Asleep
03:50:30,1,Asleep
03:51:30,2,Awake
03:52:30,1,Asleep
03:53:30,2,Awake
03:54:30,2,Awake
03:55:30,2,Awake
03:56:30,1,Asleep
03:57:30,1,Asleep
03:58:30,1,Asleep
03:59:30,1,Asleep
04:00:30,1,Asleep
04:01:30,1,Asleep
04:02:30,1,Asleep
04:03:30,1,Asleep
04:04:30,1,Asleep
04:05:30,1,Asleep
04:06:30,1,Asleep
04:07:30,1,Asleep
04:08:30,1,Asleep
04:09:30,1,Asleep
04:10:30,1,Asleep
04:11:30,1,Asleep
04:12:30,1,Asleep
04:13:30,1,Asleep
04:14:30,1,Asleep
04:15:30,1,Asleep
04:16:30,1,Asleep
04:17:30,1,Asleep
04:18:30,1,Asleep
04:19:30,1,Asleep
04:20:30,1,Asleep
04:21:30,1,Asleep
