Time,Fat
2019-09-07,41.3
2019-09-09,41.3
2019-09-10,40.3
2019-09-11,40.3
2019-09-12,40.2
2019-09-13,40.3
2019-09-14,40.4
2019-09-14,40.5
2019-09-15,40.5
2019-09-16,40.5
2019-09-23,39.3
2019-09-24,39.1
2019-09-25,39.1
2019-09-26,39.1
2019-09-27,39.4
2019-09-28,39.7
2019-09-29,39.6
2019-09-30,39.5
2019-10-01,39.4
2019-10-02,39.2
2019-10-03,39.0
2019-10-07,38.8
2019-10-08,39.4
