Time,Weight
2019-09-09,340.2
2019-09-10,341.2
2019-09-11,340.3
2019-09-12,340.9
2019-09-13,339.6
2019-09-14,339.7
2019-09-14,339.7
2019-09-15,338.7
2019-09-16,337.9
2019-09-23,335.1
2019-09-24,337.0
2019-09-25,336.2
2019-09-26,335.6
2019-09-27,334.0
2019-09-28,333.8
2019-09-29,333.6
2019-09-30,335.1
2019-10-01,335.5
2019-10-02,334.6
2019-10-03,333.0
2019-10-07,333.6
2019-10-08,331.8
2019-10-09,331.6
2019-10-09,331.8
2019-10-10,329.7
