Time,Heart Rate
00:00:01,54
00:00:11,53
00:00:16,52
00:00:21,53
00:00:31,52
00:00:36,53
00:00:41,54
00:00:46,57
00:00:56,55
00:01:01,54
00:01:11,53
00:01:21,54
00:01:36,55
00:01:41,53
00:01:56,53
00:02:06,54
00:02:11,55
00:02:21,53
00:02:36,53
00:02:41,54
00:02:46,53
00:02:51,54
00:02:56,55
00:03:11,54
00:03:26,54
00:03:36,53
00:03:46,54
00:03:51,53
00:04:01,54
00:04:11,55
00:04:26,55
00:04:31,57
00:04:41,56
00:04:46,55
00:04:51,54
00:04:56,53
00:05:06,52
00:05:11,53
00:05:26,54
00:05:31,55
00:05:36,56
00:05:41,55
00:05:46,54
00:05:51,55
00:05:56,54
00:06:01,55
00:06:06,56
00:06:11,55
00:06:26,55
00:06:31,54
00:06:36,53
00:06:41,54
00:06:46,55
00:06:51,53
00:06:56,54
00:07:01,55
00:07:06,56
00:07:21,58
00:07:26,56
00:07:41,57
00:07:51,56
00:08:01,58
00:08:06,60
00:08:11,58
00:08:16,56
00:08:21,55
00:08:31,56
00:08:46,56
00:09:01,56
00:09:06,56
00:09:11,56
00:09:26,57
00:09:41,58
00:09:51,58
00:10:01,57
00:10:06,55
00:10:11,56
00:10:16,57
00:10:21,60
00:10:31,58
00:10:41,60
00:10:51,60
00:10:56,62
00:11:01,61
00:11:06,60
00:11:11,58
00:11:16,57
00:11:21,57
00:11:31,58
00:11:36,61
00:11:46,58
00:11:51,56
00:11:56,57
00:12:01,58
00:12:06,55
00:12:11,56
00:12:16,55
00:12:21,57
00:12:26,58
00:12:41,58
00:12:51,57
00:12:56,55
00:13:01,54
00:13:06,53
00:13:16,54
00:13:21,56
00:13:26,58
00:13:31,59
00:13:36,58
00:13:41,54
00:13:46,54
00:13:51,55
00:13:56,59
00:14:01,58
00:14:16,58
00:14:26,59
00:14:36,60
00:14:41,61
00:14:56,61
00:15:01,61
00:15:16,62
00:15:31,62
00:15:46,62
00:15:56,61
00:16:01,60
00:16:06,56
00:16:11,55
00:16:16,54
00:16:21,55
00:16:26,56
00:16:31,57
00:16:36,56
00:16:46,57
00:16:51,58
00:16:56,59
00:17:01,59
00:17:06,58
00:17:11,58
00:17:21,59
00:17:26,59
00:17:31,59
00:17:36,58
00:17:46,59
00:17:51,58
00:17:56,57
00:18:01,58
00:18:06,57
00:18:11,57
00:18:16,56
00:18:21,55
00:18:26,57
00:18:31,58
00:18:36,57
00:18:46,58
00:19:01,59
00:19:06,61
00:19:21,59
00:19:26,55
00:19:31,54
